ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
198,4.4070000648498535,327.1517819335937,MSV000094528,2.0--177,2.0--3,0.007,0,0.001,0.98,0.64,0.46864313,4.98,EXP,"[311.139648, 312.134382]",URHLDITXBYURGG-UHFFFAOYSA-N,"[265.12799072265625, 311.1322937011719, 312.13580322265625]","[5726.0, 14939.0, 4998.0]"
283,13.479999542236328,384.2269772460937,MSBNK-Athens_Univ-AU281406,2.0--142,2.0--3,0.003,0,0.001,0.99,0.65,0.46864313,5.18,EXP,"[327.2239, 386.2412]",RQZAXGRLVPAYTJ-GQFGMJRRSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,MoNA-AU281406,2.0--142,2.0--3,0.003,0,0.001,0.99,0.65,0.46864313,5.18,EXP,"[327.2239, 386.2412]",RQZAXGRLVPAYTJ-GQFGMJRRSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,AU281406,2.0--142,2.0--3,0.003,0,0.001,0.99,0.65,0.46864313,5.18,MS2,"[327.2239, 386.2412]",RQZAXGRLVPAYTJ-GQFGMJRRSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
209,4.797999858856201,417.1865719726562,MSV000094528,1.0--7,1.0--1,0.007,0,0.001,0.64,0.03,0.46819595,4.57,EXP,[419.200653],LHIAKCSGISANTD-UHFFFAOYSA-N,[419.19879150390625],[5225.0]
225,5.618000030517578,263.18648041992185,MSV000094528,2.0--67,2.0--7,0.002,0,0.001,0.95,0.61,0.46765965,4.8,EXP,"[56.049419, 58.061167]",KYYIDSXMWOZKMP-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
225,5.618000030517578,263.18648041992185,MSV000094528,2.0--65,2.0--7,0.002,0,0.001,0.95,0.6,0.46765965,4.76,EXP,"[56.049392, 58.058311]",KYYIDSXMWOZKMP-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
198,4.4070000648498535,327.1517819335937,MetabolitesVS19-286617,2.0--243,2.0--3,0.003,0,0.001,1,0.64,0.46720186,5.1,EXP,"[265.137, 311.141]",SYGQXRLXOOXDRP-UHFFFAOYSA-N,"[265.12799072265625, 311.1322937011719, 312.13580322265625]","[5726.0, 14939.0, 4998.0]"
143,1.1790000200271606,246.12037934570313,MSBNK-NaToxAq-NA002325,1.0--4,1.0--3,0.005,0.001,0.002,0.81,0.88,0.4647514,4.83,EXP,[247.1329],XJHDMGJURBVLLE-BOCCBSBMSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
143,1.1790000200271606,246.12037934570313,MoNA-NA002325,1.0--4,1.0--3,0.005,0.001,0.002,0.81,0.88,0.4647514,4.83,EXP,[247.1329],XJHDMGJURBVLLE-BOCCBSBMSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
143,1.1790000200271606,246.12037934570313,NA002325,1.0--4,1.0--3,0.005,0.001,0.002,0.81,0.88,0.4647514,4.83,MS2,[247.1329],XJHDMGJURBVLLE-BOCCBSBMSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
215,5.038000106811523,415.2044857910156,MSV000094528,1.0--22,1.0--2,-0.005,0,0.001,0.74,0.52,0.46208352,4.64,EXP,[417.210266],SKYPPFSYUDCEQR-NMXNWEJOSA-N,"[399.18829345703125, 417.2143859863281]","[7649.0, 8374.0]"
215,5.038000106811523,415.2044857910156,MSV000094528,1.0--23,1.0--2,-0.005,0,0.001,0.74,0.52,0.46208352,4.63,EXP,[417.210266],SKYPPFSYUDCEQR-NMXNWEJOSA-N,"[399.18829345703125, 417.2143859863281]","[7649.0, 8374.0]"
281,13.284000396728516,360.2254818847656,MSV000094528,1.0--13,1.0--2,0.002,0,0.002,0.6,0.52,0.45949835,4.52,EXP,[362.237426],ROTBXTQPYOVNKE-UHFFFAOYSA-N,"[362.2430114746094, 303.2300109863281]","[6676.0, 4890.0]"
281,13.284000396728516,360.2254818847656,MSV000094528,1.0--13,1.0--2,0.002,0,0.002,0.6,0.52,0.45949835,4.52,EXP,[362.237426],ROTBXTQPYOVNKE-UHFFFAOYSA-N,"[362.2430114746094, 303.2300109863281]","[6676.0, 4890.0]"
275,12.809000015258789,645.0218991210937,MSBNK-LCSB-LU037802,4.0--30,4.0--6,0.002,0,0.001,0.97,0.73,0.45878172,5.4,EXP,"[58.0651, 73.0885, 100.112, 646.0311]",IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"[647.037109375, 646.0361328125, 645.95703125, 100.11512756347656, 73.08757019042969, 58.06583786010742]","[9368.0, 12752.6669921875, 199.0, 2102.0, 1058.3333740234375, 1178.0]"
275,12.809000015258789,645.0218991210937,MoNA-LU037802,4.0--30,4.0--6,0.002,0,0.001,0.97,0.73,0.45878172,5.4,EXP,"[58.0651, 73.0885, 100.112, 646.0311]",IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"[647.037109375, 646.0361328125, 645.95703125, 100.11512756347656, 73.08757019042969, 58.06583786010742]","[9368.0, 12752.6669921875, 199.0, 2102.0, 1058.3333740234375, 1178.0]"
275,12.809000015258789,645.0218991210937,LU037802,4.0--30,4.0--6,0.002,0,0.001,0.97,0.73,0.45878172,5.4,MS2,"[58.0651, 73.0885, 100.112, 646.0311]",IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"[647.037109375, 646.0361328125, 645.95703125, 100.11512756347656, 73.08757019042969, 58.06583786010742]","[9368.0, 12752.6669921875, 199.0, 2102.0, 1058.3333740234375, 1178.0]"
291,13.701000213623047,308.1951779296875,MSV000094528,1.0--12,1.0--2,-0.005,0.001,0.003,0.74,0.27,0.45870927,4.21,EXP,[309.197835],GAHPWXLXWUVMIV-MRXNPFEDSA-N,"[269.2090148925781, 309.2069091796875]","[15265.0, 326.0]"
275,12.809000015258789,645.0218991210937,MSV000094528,2.0--11,2.0--6,0.002,0,0.001,0.89,0.61,0.45667163,4.91,EXP,"[58.06481, 100.111699]",IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"[647.037109375, 646.0361328125, 645.95703125, 100.11512756347656, 73.08757019042969, 58.06583786010742]","[9368.0, 12752.6669921875, 199.0, 2102.0, 1058.3333740234375, 1178.0]"
297,13.947999954223633,342.2154721191406,MSV000094528,1.0--35,1.0--3,0.001,0,0,0.91,0.24,0.45427692,4.44,EXP,[71.085479],JFUWHICASSDUFC-UHFFFAOYSA-N,"[297.2439880371094, 111.08048248291016, 71.08673095703125]","[5186.0, 215.6666717529297, 519.0]"
291,13.701000213623047,308.1951779296875,MSV000094528,1.0--20,1.0--2,-0.006,0.001,0.002,0.8,0.29,0.452102,4.26,EXP,[309.196411],CVARLGHKNPUMND-UHFFFAOYSA-N,"[269.2090148925781, 309.2069091796875]","[15265.0, 326.0]"
225,5.618000030517578,263.18648041992185,MSV000094528,2.0--31,2.0--7,0.002,0,0.001,0.93,0.62,0.45209536,4.79,EXP,"[56.049434, 58.061153]",KYYIDSXMWOZKMP-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
130,1.0160000324249268,292.0933712890625,MSV000094528,1.0--48,1.0--3,0.006,0,0.001,0.85,0.23,0.45186454,4.09,EXP,[293.106919],YDLHNKCBACYIEZ-UHFFFAOYSA-N,"[293.1095886230469, 293.10089111328125, 293.097412109375]","[6178.0, 5121.0, 4127.0]"
130,1.0160000324249268,292.0933712890625,MSV000094528,1.0--71,1.0--3,0.006,0,0.001,0.87,0.19,0.45113108,4.07,EXP,[293.106919],YDLHNKCBACYIEZ-UHFFFAOYSA-N,"[293.1095886230469, 293.10089111328125, 293.097412109375]","[6178.0, 5121.0, 4127.0]"
372,16.00499916,350.2200802734375,MSV000094528,1.0--26,1.0--1,0.002,0,0,0.8,0.03,0.4510196,4.82,EXP,[352.231262],FQSYWAMFFLWUPX-UHFFFAOYSA-N,[352.2327880859375],[9939.0]
143,1.1790000200271606,246.12037934570313,MSV000094528,1.0--12,1.0--3,0.005,0,0.001,0.69,0.67,0.4504852,4.44,EXP,[247.133163],YMBXTVYHTMGZDW-UHFFFAOYSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
488,17.118000030517578,340.0878781,MSBNK-Antwerp_Univ-AN116602,1.0--30,1.0--1,-0.001,0,0,0.76,0.47,0.44740048,5.15,EXP,[341.094],XMNDMAQKWSQVOV-UHFFFAOYSA-N,[341.09588623046875],[6855.0]
143,1.1790000200271606,246.12037934570313,MSBNK-NaToxAq-NA002324,1.0--3,1.0--3,0.005,0.001,0.002,0.78,0.91,0.44711873,4.85,EXP,[247.1329],XJHDMGJURBVLLE-BOCCBSBMSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
143,1.1790000200271606,246.12037934570313,MoNA-NA002324,1.0--3,1.0--3,0.005,0.001,0.002,0.78,0.91,0.44711873,4.85,EXP,[247.1329],XJHDMGJURBVLLE-BOCCBSBMSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
143,1.1790000200271606,246.12037934570313,NA002324,1.0--3,1.0--3,0.005,0.001,0.002,0.78,0.91,0.44711873,4.85,MS2,[247.1329],XJHDMGJURBVLLE-BOCCBSBMSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
536,17.183000564575195,328.9984616210937,MSV000094528,1.0--14,1.0--1,0.004,0,0,0.71,0.07,0.44636247,4.57,EXP,[330.010345],QHHOJYBMAQHTTB-UHFFFAOYSA-N,[330.01080322265625],[3994.0]
130,1.0160000324249268,292.0933712890625,MSV000094528,1.0--33,1.0--3,0.006,0,0.001,0.92,0.03,0.44589704,3.94,EXP,[293.107177],DRRTVGOPBOBYBB-DGCLKSJQSA-N,"[293.1095886230469, 293.10089111328125, 293.097412109375]","[6178.0, 5121.0, 4127.0]"
